profile,minute,load_kW,set,method,reserve_bid_kW,minute_shortfall_kW,minute_violation
101,45,417.8083,out_of_sample,ALSO-X,282.303,0.0,False
101,46,410.598,out_of_sample,ALSO-X,282.303,0.0,False
101,47,402.2932,out_of_sample,ALSO-X,282.303,0.0,False
101,48,416.5704,out_of_sample,ALSO-X,282.303,0.0,False
101,49,420.6463,out_of_sample,ALSO-X,282.303,0.0,False
101,50,418.1895,out_of_sample,ALSO-X,282.303,0.0,False
101,51,424.6474,out_of_sample,ALSO-X,282.303,0.0,False
101,52,423.8677,out_of_sample,ALSO-X,282.303,0.0,False
101,53,426.7922,out_of_sample,ALSO-X,282.303,0.0,False
101,54,417.2463,out_of_sample,ALSO-X,282.303,0.0,False
101,55,437.6079,out_of_sample,ALSO-X,282.303,0.0,False
101,56,428.9272,out_of_sample,ALSO-X,282.303,0.0,False
101,57,442.5588,out_of_sample,ALSO-X,282.303,0.0,False
101,58,437.0337,out_of_sample,ALSO-X,282.303,0.0,False
101,59,442.0742,out_of_sample,ALSO-X,282.303,0.0,False
101,60,445.7392,out_of_sample,ALSO-X,282.303,0.0,False
102,1,272.3008,out_of_sample,ALSO-X,282.303,10.002200000000016,True
102,2,281.2712,out_of_sample,ALSO-X,282.303,1.0317999999999756,True
102,3,283.2313,out_of_sample,ALSO-X,282.303,0.0,False
102,4,288.0154,out_of_sample,ALSO-X,282.303,0.0,False
102,5,286.7642,out_of_sample,ALSO-X,282.303,0.0,False
102,6,287.5468,out_of_sample,ALSO-X,282.303,0.0,False
102,7,308.9194,out_of_sample,ALSO-X,282.303,0.0,False
102,8,300.6664,out_of_sample,ALSO-X,282.303,0.0,False
102,9,294.1094,out_of_sample,ALSO-X,282.303,0.0,False
102,10,313.9419,out_of_sample,ALSO-X,282.303,0.0,False
102,11,321.5899,out_of_sample,ALSO-X,282.303,0.0,False
102,12,343.3232,out_of_sample,ALSO-X,282.303,0.0,False
102,13,336.7702,out_of_sample,ALSO-X,282.303,0.0,False
102,14,336.7848,out_of_sample,ALSO-X,282.303,0.0,False
102,15,328.9263,out_of_sample,ALSO-X,282.303,0.0,False
102,16,330.0325,out_of_sample,ALSO-X,282.303,0.0,False
102,17,311.7976,out_of_sample,ALSO-X,282.303,0.0,False
102,18,320.2907,out_of_sample,ALSO-X,282.303,0.0,False
102,19,324.0834,out_of_sample,ALSO-X,282.303,0.0,False
102,20,323.5288,out_of_sample,ALSO-X,282.303,0.0,False
102,21,319.6162,out_of_sample,ALSO-X,282.303,0.0,False
102,22,311.0188,out_of_sample,ALSO-X,282.303,0.0,False
102,23,319.5544,out_of_sample,ALSO-X,282.303,0.0,False
102,24,307.9428,out_of_sample,ALSO-X,282.303,0.0,False
102,25,314.4091,out_of_sample,ALSO-X,282.303,0.0,False
102,26,335.5704,out_of_sample,ALSO-X,282.303,0.0,False
102,27,348.141,out_of_sample,ALSO-X,282.303,0.0,False
102,28,329.1286,out_of_sample,ALSO-X,282.303,0.0,False
102,29,321.9091,out_of_sample,ALSO-X,282.303,0.0,False
102,30,324.9629,out_of_sample,ALSO-X,282.303,0.0,False
102,31,322.5569,out_of_sample,ALSO-X,282.303,0.0,False
102,32,306.9732,out_of_sample,ALSO-X,282.303,0.0,False
102,33,310.9342,out_of_sample,ALSO-X,282.303,0.0,False
102,34,310.2981,out_of_sample,ALSO-X,282.303,0.0,False
102,35,328.8194,out_of_sample,ALSO-X,282.303,0.0,False
102,36,323.2875,out_of_sample,ALSO-X,282.303,0.0,False
102,37,332.4858,out_of_sample,ALSO-X,282.303,0.0,False
102,38,316.0937,out_of_sample,ALSO-X,282.303,0.0,False
102,39,303.9354,out_of_sample,ALSO-X,282.303,0.0,False
102,40,310.6217,out_of_sample,ALSO-X,282.303,0.0,False
102,41,320.0289,out_of_sample,ALSO-X,282.303,0.0,False
102,42,307.8133,out_of_sample,ALSO-X,282.303,0.0,False
102,43,306.8108,out_of_sample,ALSO-X,282.303,0.0,False
102,44,291.8205,out_of_sample,ALSO-X,282.303,0.0,False
102,45,290.5972,out_of_sample,ALSO-X,282.303,0.0,False
102,46,299.6831,out_of_sample,ALSO-X,282.303,0.0,False
102,47,294.957,out_of_sample,ALSO-X,282.303,0.0,False
102,48,292.6704,out_of_sample,ALSO-X,282.303,0.0,False
102,49,281.8795,out_of_sample,ALSO-X,282.303,0.42349999999999,True
102,50,277.2418,out_of_sample,ALSO-X,282.303,5.061199999999985,True
102,51,297.2835,out_of_sample,ALSO-X,282.303,0.0,False
102,52,298.1399,out_of_sample,ALSO-X,282.303,0.0,False
102,53,288.2251,out_of_sample,ALSO-X,282.303,0.0,False
102,54,286.4704,out_of_sample,ALSO-X,282.303,0.0,False
102,55,272.2045,out_of_sample,ALSO-X,282.303,10.098500000000001,True
102,56,265.5963,out_of_sample,ALSO-X,282.303,16.706700000000012,True
102,57,283.6459,out_of_sample,ALSO-X,282.303,0.0,False
102,58,284.6265,out_of_sample,ALSO-X,282.303,0.0,False
102,59,305.95,out_of_sample,ALSO-X,282.303,0.0,False
102,60,304.9843,out_of_sample,ALSO-X,282.303,0.0,False
103,1,366.252,out_of_sample,ALSO-X,282.303,0.0,False
103,2,356.1783,out_of_sample,ALSO-X,282.303,0.0,False
103,3,362.5674,out_of_sample,ALSO-X,282.303,0.0,False
103,4,362.8848,out_of_sample,ALSO-X,282.303,0.0,False
103,5,342.0953,out_of_sample,ALSO-X,282.303,0.0,False
103,6,347.4819,out_of_sample,ALSO-X,282.303,0.0,False
103,7,337.1099,out_of_sample,ALSO-X,282.303,0.0,False
103,8,321.5045,out_of_sample,ALSO-X,282.303,0.0,False
103,9,318.7425,out_of_sample,ALSO-X,282.303,0.0,False
103,10,312.2817,out_of_sample,ALSO-X,282.303,0.0,False
103,11,323.9912,out_of_sample,ALSO-X,282.303,0.0,False
103,12,322.3145,out_of_sample,ALSO-X,282.303,0.0,False
103,13,319.5024,out_of_sample,ALSO-X,282.303,0.0,False
103,14,324.0065,out_of_sample,ALSO-X,282.303,0.0,False
103,15,329.9376,out_of_sample,ALSO-X,282.303,0.0,False
103,16,332.1258,out_of_sample,ALSO-X,282.303,0.0,False
103,17,340.4877,out_of_sample,ALSO-X,282.303,0.0,False
103,18,339.832,out_of_sample,ALSO-X,282.303,0.0,False
103,19,334.9538,out_of_sample,ALSO-X,282.303,0.0,False
103,20,341.5001,out_of_sample,ALSO-X,282.303,0.0,False
103,21,334.0981,out_of_sample,ALSO-X,282.303,0.0,False
103,22,328.9766,out_of_sample,ALSO-X,282.303,0.0,False
103,23,341.516,out_of_sample,ALSO-X,282.303,0.0,False
103,24,351.7276,out_of_sample,ALSO-X,282.303,0.0,False
103,25,344.5957,out_of_sample,ALSO-X,282.303,0.0,False
103,26,334.0565,out_of_sample,ALSO-X,282.303,0.0,False
103,27,344.1461,out_of_sample,ALSO-X,282.303,0.0,False
103,28,346.599,out_of_sample,ALSO-X,282.303,0.0,False
103,29,344.1136,out_of_sample,ALSO-X,282.303,0.0,False
103,30,335.7575,out_of_sample,ALSO-X,282.303,0.0,False
103,31,335.145,out_of_sample,ALSO-X,282.303,0.0,False
103,32,331.2748,out_of_sample,ALSO-X,282.303,0.0,False
103,33,321.6415,out_of_sample,ALSO-X,282.303,0.0,False
103,34,321.2913,out_of_sample,ALSO-X,282.303,0.0,False
103,35,322.533,out_of_sample,ALSO-X,282.303,0.0,False
103,36,317.3947,out_of_sample,ALSO-X,282.303,0.0,False
103,37,325.8324,out_of_sample,ALSO-X,282.303,0.0,False
103,38,337.2633,out_of_sample,ALSO-X,282.303,0.0,False
103,39,344.2761,out_of_sample,ALSO-X,282.303,0.0,False
103,40,338.1154,out_of_sample,ALSO-X,282.303,0.0,False
103,41,343.1295,out_of_sample,ALSO-X,282.303,0.0,False
103,42,340.8629,out_of_sample,ALSO-X,282.303,0.0,False
103,43,325.8151,out_of_sample,ALSO-X,282.303,0.0,False
103,44,331.7256,out_of_sample,ALSO-X,282.303,0.0,False
103,45,331.7122,out_of_sample,ALSO-X,282.303,0.0,False
103,46,356.2098,out_of_sample,ALSO-X,282.303,0.0,False
103,47,366.424,out_of_sample,ALSO-X,282.303,0.0,False
103,48,367.9546,out_of_sample,ALSO-X,282.303,0.0,False
103,49,364.6699,out_of_sample,ALSO-X,282.303,0.0,False
103,50,360.8987,out_of_sample,ALSO-X,282.303,0.0,False
103,51,345.8661,out_of_sample,ALSO-X,282.303,0.0,False
103,52,325.2322,out_of_sample,ALSO-X,282.303,0.0,False
103,53,315.6751,out_of_sample,ALSO-X,282.303,0.0,False
103,54,315.4396,out_of_sample,ALSO-X,282.303,0.0,False
103,55,294.572,out_of_sample,ALSO-X,282.303,0.0,False
103,56,291.7316,out_of_sample,ALSO-X,282.303,0.0,False
103,57,292.1044,out_of_sample,ALSO-X,282.303,0.0,False
103,58,292.656,out_of_sample,ALSO-X,282.303,0.0,False
103,59,288.5779,out_of_sample,ALSO-X,282.303,0.0,False
103,60,288.0905,out_of_sample,ALSO-X,282.303,0.0,False
104,1,562.7144,out_of_sample,ALSO-X,282.303,0.0,False
104,2,561.3291,out_of_sample,ALSO-X,282.303,0.0,False
104,3,552.5704,out_of_sample,ALSO-X,282.303,0.0,False
104,4,544.7133,out_of_sample,ALSO-X,282.303,0.0,False
104,5,555.465,out_of_sample,ALSO-X,282.303,0.0,False
104,6,550.5014,out_of_sample,ALSO-X,282.303,0.0,False
104,7,539.2724,out_of_sample,ALSO-X,282.303,0.0,False
104,8,539.806,out_of_sample,ALSO-X,282.303,0.0,False
104,9,541.799,out_of_sample,ALSO-X,282.303,0.0,False
104,10,522.5712,out_of_sample,ALSO-X,282.303,0.0,False
104,11,524.9105,out_of_sample,ALSO-X,282.303,0.0,False
104,12,536.0115,out_of_sample,ALSO-X,282.303,0.0,False
104,13,541.5838,out_of_sample,ALSO-X,282.303,0.0,False
104,14,564.2602,out_of_sample,ALSO-X,282.303,0.0,False
104,15,574.4319,out_of_sample,ALSO-X,282.303,0.0,False
104,16,585.3809,out_of_sample,ALSO-X,282.303,0.0,False
104,17,600.0,out_of_sample,ALSO-X,282.303,0.0,False
104,18,600.0,out_of_sample,ALSO-X,282.303,0.0,False
104,19,595.1762,out_of_sample,ALSO-X,282.303,0.0,False
104,20,599.1192,out_of_sample,ALSO-X,282.303,0.0,False
104,21,587.354,out_of_sample,ALSO-X,282.303,0.0,False
104,22,583.7773,out_of_sample,ALSO-X,282.303,0.0,False
104,23,573.1945,out_of_sample,ALSO-X,282.303,0.0,False
104,24,574.4676,out_of_sample,ALSO-X,282.303,0.0,False
104,25,565.2266,out_of_sample,ALSO-X,282.303,0.0,False
104,26,556.889,out_of_sample,ALSO-X,282.303,0.0,False
104,27,560.7063,out_of_sample,ALSO-X,282.303,0.0,False
104,28,558.7078,out_of_sample,ALSO-X,282.303,0.0,False
104,29,539.2074,out_of_sample,ALSO-X,282.303,0.0,False
104,30,526.9236,out_of_sample,ALSO-X,282.303,0.0,False
104,31,519.3523,out_of_sample,ALSO-X,282.303,0.0,False
104,32,515.4851,out_of_sample,ALSO-X,282.303,0.0,False
104,33,525.2038,out_of_sample,ALSO-X,282.303,0.0,False
104,34,531.9429,out_of_sample,ALSO-X,282.303,0.0,False
104,35,546.4705,out_of_sample,ALSO-X,282.303,0.0,False
104,36,556.2543,out_of_sample,ALSO-X,282.303,0.0,False
104,37,568.1687,out_of_sample,ALSO-X,282.303,0.0,False
104,38,574.1199,out_of_sample,ALSO-X,282.303,0.0,False
104,39,575.4584,out_of_sample,ALSO-X,282.303,0.0,False
104,40,585.6075,out_of_sample,ALSO-X,282.303,0.0,False
104,41,592.799,out_of_sample,ALSO-X,282.303,0.0,False
104,42,593.7385,out_of_sample,ALSO-X,282.303,0.0,False
104,43,600.0,out_of_sample,ALSO-X,282.303,0.0,False
104,44,572.8968,out_of_sample,ALSO-X,282.303,0.0,False
104,45,569.595,out_of_sample,ALSO-X,282.303,0.0,False
104,46,566.5157,out_of_sample,ALSO-X,282.303,0.0,False
104,47,578.3541,out_of_sample,ALSO-X,282.303,0.0,False
104,48,592.907,out_of_sample,ALSO-X,282.303,0.0,False
104,49,575.431,out_of_sample,ALSO-X,282.303,0.0,False
104,50,588.5847,out_of_sample,ALSO-X,282.303,0.0,False
104,51,574.2399,out_of_sample,ALSO-X,282.303,0.0,False
104,52,561.8126,out_of_sample,ALSO-X,282.303,0.0,False
104,53,559.8292,out_of_sample,ALSO-X,282.303,0.0,False
104,54,557.1183,out_of_sample,ALSO-X,282.303,0.0,False
104,55,542.1966,out_of_sample,ALSO-X,282.303,0.0,False
104,56,551.0079,out_of_sample,ALSO-X,282.303,0.0,False
104,57,558.9119,out_of_sample,ALSO-X,282.303,0.0,False
104,58,569.4655,out_of_sample,ALSO-X,282.303,0.0,False
104,59,563.7281,out_of_sample,ALSO-X,282.303,0.0,False
104,60,562.4687,out_of_sample,ALSO-X,282.303,0.0,False
105,1,510.4449,out_of_sample,ALSO-X,282.303,0.0,False
105,2,502.7113,out_of_sample,ALSO-X,282.303,0.0,False
105,3,485.1313,out_of_sample,ALSO-X,282.303,0.0,False
105,4,478.0816,out_of_sample,ALSO-X,282.303,0.0,False
105,5,473.3587,out_of_sample,ALSO-X,282.303,0.0,False
105,6,464.0539,out_of_sample,ALSO-X,282.303,0.0,False
105,7,463.262,out_of_sample,ALSO-X,282.303,0.0,False
105,8,468.3824,out_of_sample,ALSO-X,282.303,0.0,False
105,9,464.429,out_of_sample,ALSO-X,282.303,0.0,False
105,10,458.9677,out_of_sample,ALSO-X,282.303,0.0,False
105,11,457.2239,out_of_sample,ALSO-X,282.303,0.0,False
105,12,457.4595,out_of_sample,ALSO-X,282.303,0.0,False
105,13,440.522,out_of_sample,ALSO-X,282.303,0.0,False
105,14,447.8153,out_of_sample,ALSO-X,282.303,0.0,False
105,15,445.2813,out_of_sample,ALSO-X,282.303,0.0,False
105,16,460.3426,out_of_sample,ALSO-X,282.303,0.0,False
105,17,467.0484,out_of_sample,ALSO-X,282.303,0.0,False
105,18,478.8857,out_of_sample,ALSO-X,282.303,0.0,False
105,19,467.6262,out_of_sample,ALSO-X,282.303,0.0,False
105,20,464.2354,out_of_sample,ALSO-X,282.303,0.0,False
105,21,452.6482,out_of_sample,ALSO-X,282.303,0.0,False
105,22,447.9169,out_of_sample,ALSO-X,282.303,0.0,False
105,23,463.4037,out_of_sample,ALSO-X,282.303,0.0,False
105,24,479.4473,out_of_sample,ALSO-X,282.303,0.0,False
105,25,467.2547,out_of_sample,ALSO-X,282.303,0.0,False
105,26,463.4527,out_of_sample,ALSO-X,282.303,0.0,False
105,27,463.9404,out_of_sample,ALSO-X,282.303,0.0,False
105,28,470.9843,out_of_sample,ALSO-X,282.303,0.0,False
105,29,453.7099,out_of_sample,ALSO-X,282.303,0.0,False
105,30,440.0426,out_of_sample,ALSO-X,282.303,0.0,False
105,31,448.8936,out_of_sample,ALSO-X,282.303,0.0,False
105,32,432.2346,out_of_sample,ALSO-X,282.303,0.0,False
105,33,432.5235,out_of_sample,ALSO-X,282.303,0.0,False
105,34,438.7823,out_of_sample,ALSO-X,282.303,0.0,False
105,35,446.7317,out_of_sample,ALSO-X,282.303,0.0,False
105,36,448.0512,out_of_sample,ALSO-X,282.303,0.0,False
105,37,446.8632,out_of_sample,ALSO-X,282.303,0.0,False
105,38,457.8072,out_of_sample,ALSO-X,282.303,0.0,False
105,39,461.7274,out_of_sample,ALSO-X,282.303,0.0,False
105,40,455.7363,out_of_sample,ALSO-X,282.303,0.0,False
105,41,457.1931,out_of_sample,ALSO-X,282.303,0.0,False
105,42,461.813,out_of_sample,ALSO-X,282.303,0.0,False
105,43,479.1163,out_of_sample,ALSO-X,282.303,0.0,False
105,44,484.9164,out_of_sample,ALSO-X,282.303,0.0,False
105,45,494.2021,out_of_sample,ALSO-X,282.303,0.0,False
105,46,484.0295,out_of_sample,ALSO-X,282.303,0.0,False
105,47,475.8594,out_of_sample,ALSO-X,282.303,0.0,False
105,48,471.4864,out_of_sample,ALSO-X,282.303,0.0,False
105,49,468.4974,out_of_sample,ALSO-X,282.303,0.0,False
105,50,457.1771,out_of_sample,ALSO-X,282.303,0.0,False
105,51,469.9237,out_of_sample,ALSO-X,282.303,0.0,False
105,52,477.2989,out_of_sample,ALSO-X,282.303,0.0,False
105,53,471.8985,out_of_sample,ALSO-X,282.303,0.0,False
105,54,476.6357,out_of_sample,ALSO-X,282.303,0.0,False
105,55,476.6483,out_of_sample,ALSO-X,282.303,0.0,False
105,56,481.677,out_of_sample,ALSO-X,282.303,0.0,False
105,57,465.5253,out_of_sample,ALSO-X,282.303,0.0,False
105,58,463.3786,out_of_sample,ALSO-X,282.303,0.0,False
105,59,462.4613,out_of_sample,ALSO-X,282.303,0.0,False
105,60,468.581,out_of_sample,ALSO-X,282.303,0.0,False
106,1,422.1521,out_of_sample,ALSO-X,282.303,0.0,False
106,2,425.1934,out_of_sample,ALSO-X,282.303,0.0,False
106,3,443.9732,out_of_sample,ALSO-X,282.303,0.0,False
106,4,449.3858,out_of_sample,ALSO-X,282.303,0.0,False
106,5,449.0263,out_of_sample,ALSO-X,282.303,0.0,False
106,6,447.4551,out_of_sample,ALSO-X,282.303,0.0,False
106,7,457.3191,out_of_sample,ALSO-X,282.303,0.0,False
106,8,448.9355,out_of_sample,ALSO-X,282.303,0.0,False
106,9,445.9352,out_of_sample,ALSO-X,282.303,0.0,False
106,10,433.6859,out_of_sample,ALSO-X,282.303,0.0,False
106,11,447.8722,out_of_sample,ALSO-X,282.303,0.0,False
106,12,449.9812,out_of_sample,ALSO-X,282.303,0.0,False
106,13,440.7326,out_of_sample,ALSO-X,282.303,0.0,False
106,14,438.4286,out_of_sample,ALSO-X,282.303,0.0,False
106,15,442.5558,out_of_sample,ALSO-X,282.303,0.0,False
106,16,438.5087,out_of_sample,ALSO-X,282.303,0.0,False
106,17,432.0466,out_of_sample,ALSO-X,282.303,0.0,False
106,18,425.1122,out_of_sample,ALSO-X,282.303,0.0,False
106,19,428.9068,out_of_sample,ALSO-X,282.303,0.0,False
106,20,425.2553,out_of_sample,ALSO-X,282.303,0.0,False
106,21,421.08,out_of_sample,ALSO-X,282.303,0.0,False
106,22,408.5939,out_of_sample,ALSO-X,282.303,0.0,False
106,23,411.7704,out_of_sample,ALSO-X,282.303,0.0,False
106,24,412.0208,out_of_sample,ALSO-X,282.303,0.0,False
106,25,410.8967,out_of_sample,ALSO-X,282.303,0.0,False
106,26,415.1874,out_of_sample,ALSO-X,282.303,0.0,False
106,27,424.5466,out_of_sample,ALSO-X,282.303,0.0,False
106,28,432.4242,out_of_sample,ALSO-X,282.303,0.0,False
106,29,437.9877,out_of_sample,ALSO-X,282.303,0.0,False
106,30,435.0821,out_of_sample,ALSO-X,282.303,0.0,False
106,31,429.4062,out_of_sample,ALSO-X,282.303,0.0,False
106,32,419.797,out_of_sample,ALSO-X,282.303,0.0,False
106,33,416.0123,out_of_sample,ALSO-X,282.303,0.0,False
106,34,418.9812,out_of_sample,ALSO-X,282.303,0.0,False
106,35,413.7119,out_of_sample,ALSO-X,282.303,0.0,False
106,36,418.0801,out_of_sample,ALSO-X,282.303,0.0,False
106,37,411.4935,out_of_sample,ALSO-X,282.303,0.0,False
106,38,398.9272,out_of_sample,ALSO-X,282.303,0.0,False
106,39,412.8575,out_of_sample,ALSO-X,282.303,0.0,False
106,40,412.36,out_of_sample,ALSO-X,282.303,0.0,False
106,41,408.4738,out_of_sample,ALSO-X,282.303,0.0,False
106,42,402.6578,out_of_sample,ALSO-X,282.303,0.0,False
106,43,412.873,out_of_sample,ALSO-X,282.303,0.0,False
106,44,431.5367,out_of_sample,ALSO-X,282.303,0.0,False
106,45,430.326,out_of_sample,ALSO-X,282.303,0.0,False
106,46,431.2693,out_of_sample,ALSO-X,282.303,0.0,False
106,47,445.0921,out_of_sample,ALSO-X,282.303,0.0,False
106,48,428.5424,out_of_sample,ALSO-X,282.303,0.0,False
106,49,451.8441,out_of_sample,ALSO-X,282.303,0.0,False
106,50,477.1988,out_of_sample,ALSO-X,282.303,0.0,False
106,51,448.0678,out_of_sample,ALSO-X,282.303,0.0,False
106,52,448.5658,out_of_sample,ALSO-X,282.303,0.0,False
106,53,442.8184,out_of_sample,ALSO-X,282.303,0.0,False
106,54,442.3147,out_of_sample,ALSO-X,282.303,0.0,False
106,55,440.3318,out_of_sample,ALSO-X,282.303,0.0,False
106,56,450.869,out_of_sample,ALSO-X,282.303,0.0,False
106,57,450.8641,out_of_sample,ALSO-X,282.303,0.0,False
106,58,442.8277,out_of_sample,ALSO-X,282.303,0.0,False
106,59,443.081,out_of_sample,ALSO-X,282.303,0.0,False
106,60,450.0991,out_of_sample,ALSO-X,282.303,0.0,False
107,1,568.8336,out_of_sample,ALSO-X,282.303,0.0,False
107,2,565.7812,out_of_sample,ALSO-X,282.303,0.0,False
107,3,560.3603,out_of_sample,ALSO-X,282.303,0.0,False
107,4,564.9306,out_of_sample,ALSO-X,282.303,0.0,False
107,5,581.0946,out_of_sample,ALSO-X,282.303,0.0,False
107,6,583.2998,out_of_sample,ALSO-X,282.303,0.0,False
107,7,564.1818,out_of_sample,ALSO-X,282.303,0.0,False
107,8,548.6404,out_of_sample,ALSO-X,282.303,0.0,False
107,9,544.7716,out_of_sample,ALSO-X,282.303,0.0,False
107,10,542.6467,out_of_sample,ALSO-X,282.303,0.0,False
107,11,526.2282,out_of_sample,ALSO-X,282.303,0.0,False
107,12,537.1977,out_of_sample,ALSO-X,282.303,0.0,False
107,13,527.8148,out_of_sample,ALSO-X,282.303,0.0,False
107,14,545.3902,out_of_sample,ALSO-X,282.303,0.0,False
107,15,564.1806,out_of_sample,ALSO-X,282.303,0.0,False
107,16,560.0918,out_of_sample,ALSO-X,282.303,0.0,False
107,17,563.4434,out_of_sample,ALSO-X,282.303,0.0,False
107,18,549.7727,out_of_sample,ALSO-X,282.303,0.0,False
107,19,556.3984,out_of_sample,ALSO-X,282.303,0.0,False
107,20,551.119,out_of_sample,ALSO-X,282.303,0.0,False
107,21,540.699,out_of_sample,ALSO-X,282.303,0.0,False
107,22,539.6306,out_of_sample,ALSO-X,282.303,0.0,False
107,23,537.0528,out_of_sample,ALSO-X,282.303,0.0,False
107,24,536.3195,out_of_sample,ALSO-X,282.303,0.0,False
107,25,548.5526,out_of_sample,ALSO-X,282.303,0.0,False
107,26,542.0973,out_of_sample,ALSO-X,282.303,0.0,False
107,27,561.7467,out_of_sample,ALSO-X,282.303,0.0,False
107,28,548.5598,out_of_sample,ALSO-X,282.303,0.0,False
107,29,566.4769,out_of_sample,ALSO-X,282.303,0.0,False
107,30,556.0336,out_of_sample,ALSO-X,282.303,0.0,False
107,31,557.0987,out_of_sample,ALSO-X,282.303,0.0,False
107,32,553.2339,out_of_sample,ALSO-X,282.303,0.0,False
107,33,551.3758,out_of_sample,ALSO-X,282.303,0.0,False
107,34,561.2567,out_of_sample,ALSO-X,282.303,0.0,False
107,35,576.9882,out_of_sample,ALSO-X,282.303,0.0,False
107,36,587.7758,out_of_sample,ALSO-X,282.303,0.0,False
107,37,581.3366,out_of_sample,ALSO-X,282.303,0.0,False
107,38,581.5669,out_of_sample,ALSO-X,282.303,0.0,False
107,39,572.0958,out_of_sample,ALSO-X,282.303,0.0,False
107,40,561.6397,out_of_sample,ALSO-X,282.303,0.0,False
107,41,550.8478,out_of_sample,ALSO-X,282.303,0.0,False
107,42,548.3792,out_of_sample,ALSO-X,282.303,0.0,False
107,43,553.0038,out_of_sample,ALSO-X,282.303,0.0,False
107,44,535.3695,out_of_sample,ALSO-X,282.303,0.0,False
107,45,538.4019,out_of_sample,ALSO-X,282.303,0.0,False
107,46,556.5768,out_of_sample,ALSO-X,282.303,0.0,False
107,47,568.4997,out_of_sample,ALSO-X,282.303,0.0,False
107,48,561.7802,out_of_sample,ALSO-X,282.303,0.0,False
107,49,547.5994,out_of_sample,ALSO-X,282.303,0.0,False
107,50,553.5284,out_of_sample,ALSO-X,282.303,0.0,False
107,51,530.8077,out_of_sample,ALSO-X,282.303,0.0,False
107,52,544.9183,out_of_sample,ALSO-X,282.303,0.0,False
107,53,543.9238,out_of_sample,ALSO-X,282.303,0.0,False
107,54,563.3214,out_of_sample,ALSO-X,282.303,0.0,False
107,55,544.6324,out_of_sample,ALSO-X,282.303,0.0,False
107,56,554.4626,out_of_sample,ALSO-X,282.303,0.0,False
107,57,552.7555,out_of_sample,ALSO-X,282.303,0.0,False
107,58,548.7817,out_of_sample,ALSO-X,282.303,0.0,False
107,59,534.7375,out_of_sample,ALSO-X,282.303,0.0,False
107,60,541.8834,out_of_sample,ALSO-X,282.303,0.0,False
108,1,546.7965,out_of_sample,ALSO-X,282.303,0.0,False
108,2,531.4311,out_of_sample,ALSO-X,282.303,0.0,False
